,Unnamed: 0,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss
92,93,CNN-271,500.0,0.9,0.999,,,,,cuda,0.1,10.0,0.9,,,,,0.0001,ExponentialLR,,"load_from_zoo(""Densenet161(10)_61eb0a80_0.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
93,94,CNN-237,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,"load_from_zoo(""Densenet161(10)_61eae67e_49.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.7860001921653748,0.6930561065673828
94,95,CNN-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,96,CNN-241,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,"VotingEnsemble(['load_from_zoo(M3()_#CNN-172_36.p)', 'load_from_zoo(M3()_#CNN-229_29.p)', 'load_from_zoo(M7()_61ead6cd_final.p)', 'load_from_zoo(M7()_61ead348_2.p)'], [1, 1, 1, 1])",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
96,97,CNN-187,64.0,0.9,0.999,,,,,cpu,0.1,5.0,0.9,,,,,0.002,ExponentialLR,,M7S1(),0.7,1.0,QHAdam,,,,,mlxa/CNN,False,None,train_v2.bin,,val_v2.bin,1e-06,0.1131904125213623,2.300780296325684
97,98,CNN-384,256.0,0.9,0.999,True,0.0,19.0,7.0,cuda,,2.0,,0.0,0.0,0.0197757575660944,0.0,0.0021443914814634,,,M7(),0.9,1.0,QHAdam,,,0.0,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,5.853530798056386e-05,0.89208984375,0.4498291015625
98,99,CNN-222,2000.0,0.9,0.999,,,,,cuda,0.1,10.0,,,,,,0.0001,OneCycleLR,0.001,M5(),0.7,1.0,QHAdam,,,,5.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.8040000200271606,0.8764586448669434
99,100,CNN-233,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,Densenet161(10)_61eae67e_49.p,0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
100,101,CNN-377,32.0,0.9,0.999,True,0.0,11.0,6.0,cuda,,2.0,,0.0,0.0664603635668754,0.0,0.0,0.0003773195175585,,,Resnet18(10),0.3568018078804016,0.9266674518585204,QHAdam,,,0.0073425970040261,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.2855764432869065e-05,0.8648163080215454,0.4430824220180511
101,102,CNN-192,64.0,0.9,0.999,,,,,cpu,0.1,5.0,0.9,,,,,0.002,ExponentialLR,,M7S1(),0.7,1.0,QHAdam,,,,,mlxa/CNN,False,None,train_v2.bin,,val_v2.bin,1e-06,0.1227390244603157,2.292699098587036
102,103,CNN-274,500.0,0.9,0.999,,,,,cuda,0.1,10.0,0.9,,,,,0.0001,ExponentialLR,,"load_from_zoo(""Densenet161(10)_61eb0a80_0.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
103,104,CNN-211,200.0,0.9,0.999,,,,,cuda,0.1,10.0,0.95,,,,,0.001,ExponentialLR,,Resnet18(10),0.7,1.0,QHAdam,,,,,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.9121001958847046,0.294731080532074
104,105,CNN-321,512.0,0.9,0.999,True,0.0,9.0,4.0,cuda,,2.0,,0.0288379937410354,0.0397919267416,0.0,0.0,0.0036830624077779,,,M5(),0.4383729100227356,0.952683687210083,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,4.569104038545888e-05,0.7021771669387817,1.0047250986099243
105,106,CNN-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,107,CNN-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,108,CNN-312,32.0,0.9,0.999,True,0.0,0.0,0.0,cpu,,2.0,,0.0,0.0,0.0750358030200004,0.0,0.0001199644829942,,,Resnet18(10),0.4825763702392578,1.0,QHAdam,,,0.0421697534620761,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,6.315502138110881e-05,,
108,109,CNN-130,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
109,110,CNN-383,512.0,0.9,0.999,True,0.0,7.0,3.0,cuda,,2.0,,0.1122048497200012,0.0302824433892965,0.0,0.0,0.000987611706938,,,M7(),0.7539322376251221,1.0,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.2781967363001514e-05,0.7347139716148376,0.996662437915802
110,111,CNN-194,64.0,0.9,0.999,,,,,cpu,0.1,5.0,0.9,,,,,0.002,ExponentialLR,,M7S1(),0.7,1.0,QHAdam,,,,,mlxa/CNN,False,None,train_v2.bin,,val_v2.bin,1e-06,0.1236474514007568,2.3038761615753174
111,112,CNN-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,113,CNN-137,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
113,114,CNN-366,256.0,0.9,0.999,True,0.0,17.0,9.0,cuda,,2.0,,0.0,0.0021091939415782,0.0654763877391815,0.0,0.0010089037698109,,,M5(),0.4331353306770324,1.0,QHAdam,,,0.0,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.995054745492565e-05,0.83154296875,0.7193006277084351
114,115,CNN-27,,0.9,0.999,,,,,,0.1,50.0,0.95,,,,,0.01,,,,1.0,1.0,,,,,,,,,,,,1e-06,,
115,116,CNN-335,128.0,0.9,0.999,True,2.0,15.0,7.0,cuda,,2.0,,0.0,0.0,0.0098899779841303,0.0403234027326107,0.0124834006047006,,,M7(),0.5222955942153931,0.9253250360488892,QHAdam,,,0.0323475711047649,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0007105824470397,0.6161985993385315,1.230231523513794
116,117,CNN-373,512.0,0.9,0.999,True,0.0,12.0,4.0,cuda,,2.0,,0.0,0.0,0.0,0.0,0.0002721073701169,,,Resnet18(10),0.5135887861251831,0.8860825896263123,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,9.37028161908088e-05,0.787028968334198,0.6582610607147217
117,118,CNN-266,500.0,0.9,0.999,,,,,cuda,0.1,1.0,0.9,,,,,1e-05,ExponentialLR,,"load_from_zoo(""Densenet161(10)_61eaf1c4_47.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
118,119,CNN-322,128.0,0.9,0.999,True,0.0,8.0,4.0,cuda,,2.0,,0.0,0.2336771935224533,0.0,0.073565773665905,0.0025242813367234,,,Resnet18(10),0.6009762287139893,1.0,QHAdam,,,0.1522990316152572,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0002199313112818,0.8672864437103271,0.4353737831115722
119,120,CNN-246,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,"VotingEnsemble([load_from_zoo('M3()_#CNN-172_36.p'),load_from_zoo('M3()_#CNN-229_29.p'),load_from_zoo('M7()_61ead6cd_final.p'),load_from_zoo('M7()_61ead348_2.p')], [1, 1, 1, 1])",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
120,121,CNN-309,128.0,0.9,0.999,True,0.0,17.0,5.0,cuda,,2.0,,0.0,0.0682143121957779,0.0,0.0,0.0046266714413954,,,Resnet18(10),0.4049705862998962,0.9759841561317444,QHAdam,,,0.0,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0002102665159855,0.7135087251663208,0.90190988779068
121,122,CNN-30,,0.9,0.999,,,,,,0.1,50.0,0.95,,,,,0.01,,,,1.0,1.0,,,,,,,,,,,,1e-06,,
122,123,CNN-353,512.0,0.9,0.999,True,1.0,16.0,9.0,cuda,,2.0,,0.1413448750972747,0.0,0.0034551140852272,0.0,0.0009578867861137,,,Resnet18(10),0.4579111635684967,0.953933835029602,QHAdam,,,0.0189191419631242,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.547591482550167e-05,,
123,124,CNN-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,125,CNN-37,,0.9,0.999,,,,,,0.1,50.0,0.95,,,,,0.01,,,,0.7,1.0,,,,,,,,,,,,1e-06,0.9292396903038024,0.2672843039035797
125,126,CNN-273,500.0,0.9,0.999,,,,,cuda,0.1,10.0,0.9,,,,,0.0001,ExponentialLR,,"load_from_zoo(""Densenet161(10)_61eb0a80_0.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
126,127,CNN-299,32.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0288433786481618,0.0,0.0,0.0856643989682197,0.1,,,M5(),0.2961304783821106,1.0,QHAdam,,,0.1956255584955215,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0001836744782171,,
127,128,CNN-226,2000.0,0.9,0.999,,,,,cuda,0.1,20.0,,,,,,0.001,OneCycleLR,0.01,"load_from_zoo(""M5()_61ead8a7_17.p"")",0.7,1.0,QHAdam,,,,5.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.879800021648407,0.5532575845718384
128,129,CNN-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,130,CNN-341,256.0,0.9,0.999,True,0.0,9.0,5.0,cuda,,2.0,,0.099015787243843,0.0,0.0206781756132841,0.1457663029432296,0.0001468153321193,,,M7(),0.8518903255462646,0.8,QHAdam,,,0.010577174834907,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0002080450726812,0.8802734613418579,0.6518964767456055
130,131,CNN-140,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
131,132,CNN-232,1000.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,Densenet161(10),0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.7570000290870667,0.7553194761276245
132,133,CNN-346,128.0,0.9,0.999,True,0.0,8.0,3.0,cuda,,2.0,,0.0193863119930028,0.0,0.0049593267031013,0.0,0.0001387642898976,,,M5(),0.5899543166160583,1.0,QHAdam,,,0.0,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.9369461567944204e-05,0.8900316953659058,0.6456335783004761
133,134,CNN-210,64.0,0.9,0.999,,,,,cpu,0.1,5.0,,,,,,0.002,OneCycleLR,1.0,Dummy(),0.7,1.0,QHAdam,,,,,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.0959394872188568,20.822311401367188
134,135,CNN-153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,136,CNN-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,137,CNN-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,139,CNN-127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,140,CNN-290,100.0,0.9,0.999,True,,,,cuda,0.1,200.0,,,,,,0.0001,,,load_from_zoo('M7()_61ee9f5f_24.p'),0.7,1.0,QHAdam,,,,100.0,mlxa/CNN,True,None,train_v1.bin,False,val_v1.bin,1e-06,0.9329001307487488,0.2576052546501159
139,141,CNN-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,142,CNN-298,256.0,0.9,0.999,True,3.0,4.0,3.0,cuda,,2.0,,0.0,0.0,0.0,0.0,3.989038474251636e-05,,,M5(),0.6143693923950195,0.9549054503440856,QHAdam,,,0.0,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0004007993139981,,
141,143,CNN-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1903,2.4006451239251785
142,144,CNN-361,256.0,0.9,0.999,True,0.0,14.0,7.0,cuda,,2.0,,0.0,0.0185028333216905,0.065028466284275,0.0,0.009110491298001,,,Resnet18(10),0.1,0.913711428642273,QHAdam,,,0.0647694393992424,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.6745377465540464e-06,0.69921875,0.924184501171112
143,145,CNN-163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,146,CNN-184,64.0,0.9,0.999,,,,,cpu,0.1,5.0,0.9,,,,,0.002,ExponentialLR,,M7S1(),0.7,1.0,QHAdam,,,,,mlxa/CNN,False,None,train_v2.bin,,val_v2.bin,1e-06,,
145,147,CNN-244,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,"VotingEnsemble([load_from_zoo(M3()_#CNN-172_36.p),load_from_zoo(M3()_#CNN-229_29.p),load_from_zoo(M7()_61ead6cd_final.p),load_from_zoo(M7()_61ead348_2.p)], [1, 1, 1, 1])",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
146,148,CNN-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,150,CNN-282,100.0,0.9,0.999,True,,,,cuda,0.1,200.0,,,,,,0.001,,,M7(),0.7,1.0,QHAdam,0.6,0.6,,100.0,mlxa/CNN,True,None,train_v1.bin,True,val_v2.bin,1e-06,,
148,151,CNN-235,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,"load_from_zoo(""Densenet161(10)_61eae67e_49.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
149,152,CNN-98,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
150,153,CNN-200,200.0,0.9,0.999,,,,,cuda,0.1,100.0,3.1622776601683795,,,,,0.0001,ExponentialLR,,M7(),0.7,1.0,QHAdam,,,,,mlxa/CNN,True,None,train_v1.bin,,val_v2.bin,1e-06,,
151,154,CNN-68,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
152,155,CNN-296,1024.0,0.9,0.999,True,1.0,16.0,8.0,cuda,,2.0,,0.0,0.0758391916751861,0.0,0.135131224989891,0.0002798471392913,,,M5(),0.5403730869293213,1.0,QHAdam,,,0.0247436575591564,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0007056764637843,,
153,156,CNN-204,200.0,0.9,0.999,,,,,cuda,0.1,10.0,,,,,,0.001,OneCycleLR,0.1,"M7()"")",0.7,1.0,QHAdam,,,,,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
154,157,CNN-292,100.0,0.9,0.999,True,,,,cuda,0.1,200.0,,,,,,0.0001,,,load_from_zoo('M7()_61ee9f5f_24.p'),0.7,1.0,QHAdam,0.5,0.5,,100.0,mlxa/CNN,True,None,train_v1.bin,True,val_v1.bin,1e-06,,
155,158,CNN-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,159,CNN-71,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,0.9376990795135498,0.2607343792915344
157,160,CNN-248,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,"VotingEnsemble([load_from_zoo('M3()_#CNN-172_36.p'),load_from_zoo('M3()_#CNN-229_29.p'),load_from_zoo('M7()_61ead6cd_final.p'),load_from_zoo('M7()_61ead348_2.p')], [1, 1, 1, 1])",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
158,162,CNN-196,64.0,0.9,0.999,,,,,cuda,0.1,100.0,,,,,,0.0001,OneCycleLR,0.001,M7S1(),0.7,1.0,QHAdam,,,,,mlxa/CNN,True,None,train_v1.bin,,val_v2.bin,1e-06,0.2442869842052459,2.111942768096924
159,163,CNN-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,164,CNN-25,,0.9,0.999,,,,,,0.1,50.0,0.95,,,,,0.01,,,,1.0,1.0,,,,,,,,,,,,1e-06,,
161,165,CNN-262,500.0,0.9,0.999,,,,,cuda,0.1,1.0,0.9,,,,,1e-05,ExponentialLR,,"load_from_zoo(""Densenet161(10)_61eaf1c4_47.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
162,166,CNN-344,64.0,0.9,0.999,True,0.0,6.0,6.0,cuda,,2.0,,0.0,0.0572313442826271,0.0,0.2057749480009079,6.482802781013886e-05,,,M5(),0.7729341983795166,1.0,QHAdam,,,0.0,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.293812864649484e-05,0.8841560482978821,0.6481791138648987
163,167,CNN-283,100.0,0.9,0.999,True,,,,cuda,0.1,200.0,,,,,,0.001,,,M7(),0.7,1.0,QHAdam,,,,100.0,mlxa/CNN,True,None,train_v1.bin,False,val_v2.bin,1e-06,0.5567204356193542,1.5371469259262085
164,168,CNN-334,512.0,0.9,0.999,True,0.0,30.0,10.0,cuda,,2.0,,0.0,0.0,0.0,0.0,0.0005697697605168,,,Resnet18(10),0.1864185035228729,0.9020223617553712,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.4795994030888125e-05,0.7051011323928833,0.9269669651985168
165,169,CNN-128,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
166,170,CNN-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,171,CNN-215,200.0,0.9,0.999,,,,,cuda,0.1,10.0,0.95,,,,,0.001,ExponentialLR,,"load_from_zoo(""M7()_CNN-202_final.p"")",0.7,1.0,QHAdam,,,,,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.9283000230789183,0.2481404840946197
168,172,CNN-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,173,CNN-280,100.0,0.9,0.999,True,,,,cuda,0.1,50.0,,,,,,0.001,,,M7(),0.7,1.0,QHAdam,,,,100.0,mlxa/CNN,True,None,train_v2.bin,False,val_v2.bin,1e-06,0.2013171911239624,2.371784448623657
170,174,CNN-265,500.0,0.9,0.999,,,,,cuda,0.1,1.0,0.9,,,,,1e-05,ExponentialLR,,"load_from_zoo(""Densenet161(10)_61eaf1c4_47.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
171,175,CNN-332,64.0,0.9,0.999,True,1.0,5.0,2.0,cuda,,2.0,,0.0,0.0,0.0,0.0877838656306266,0.0010898078688161,,,M5(),0.1100153028964996,0.9017263650894164,QHAdam,,,0.0435957945883274,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.432195328809444e-07,0.8793789744377136,0.4813926517963409
172,176,CNN-188,64.0,0.9,0.999,,,,,cpu,0.1,5.0,0.9,,,,,0.002,ExponentialLR,,M7S1(),0.7,1.0,QHAdam,,,,,mlxa/CNN,False,None,train_v2.bin,,val_v2.bin,1e-06,,
173,177,CNN-146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,178,CNN-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,179,CNN-356,128.0,0.9,0.999,True,0.0,15.0,9.0,cuda,,2.0,,0.0,0.0,0.0,0.0,0.0210212500788216,,,M5(),0.3944166302680969,0.9954156875610352,QHAdam,,,0.0343336686491966,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.3223327423207832e-06,0.8907239437103271,0.3675224184989929
176,180,CNN-29,,0.9,0.999,,,,,,0.1,50.0,0.95,,,,,0.01,,,,1.0,1.0,,,,,,,,,,,,1e-06,,
177,181,CNN-327,128.0,0.9,0.999,True,0.0,5.0,2.0,cuda,,2.0,,0.1527017503976822,0.0,0.0559742115437984,0.0005316146998666,0.0008248920056868,,,M5(),0.4653584957122803,0.9867525100708008,QHAdam,,,0.0,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.2286439335276335e-06,0.8858782052993774,0.4759665429592132
178,182,CNN-329,512.0,0.9,0.999,True,0.0,1.0,0.0,cuda,,2.0,,0.0312559604644775,0.2211291342973709,0.0,0.1380542963743209,0.0003346894251957,,,M5(),0.2418406009674072,1.0,QHAdam,,,0.0597009323537349,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0003717673567128,0.716015636920929,1.054197907447815
179,183,CNN-245,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,"VotingEnsemble([load_from_zoo('M3()_#CNN-172_36.p'),load_from_zoo('M3()_#CNN-229_29.p'),load_from_zoo('M7()_61ead6cd_final.p'),load_from_zoo('M7()_61ead348_2.p')], [1, 1, 1, 1])",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
